C1=CC(C(C(=C1)C(=O)O)O)O
CNC(=O)CCC(=O)C1=CN=CC=C1
C1=CC(=CN=C1)C(=O)CCC(=O)O
C1=CC(=CN=C1)C(CCC(=O)O)O
CC(CC(=O)O)O
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO
C1=CC(=CC(=C1)Cl)C(=O)O
C1=CC(=CC(=C1)Cl)C(=O)NCC(=O)O
CC(CCO)(CC(=O)O)O
CCCCCCCC=O
C(=O)(C(=O)O)NC(=O)N
C[N+]1=CC=CC(=C1)C(=O)N
COC1=CC=CC=C1O
C1=CC=C(C=C1)C(=O)NCC(=O)O
C(CC(C(=O)O)N)CC(=O)O
C1=CC=C(C(=C1)C(=O)CC(=O)C(=O)O)N
CSCCC(=O)C(=O)O
C1=C(NC=N1)N
C[N+](C)(C)CCOS(=O)(=O)O
CC(C(=O)O)C(=O)O
C(C=O)P(=O)(O)O
[O-]S(=O)(=O)SS(=O)(=O)[O-]
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)NC(=NCCCC(C(=O)O)N)N)O)O)O)O)N
CC(=O)NCCCNCCCCN
C(CC(=O)O)CN=C(N)N
C(CCNC(=O)N)CN
C1C(=O)NC=N1
OP1(=O)OP(=O)(OP(=O)(O1)O)O
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O
CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
C(CC(=O)C(=O)O)C=O
C(C(=O)C(=O)O)(C(=O)O)O
C(C(C(=O)O)O)C(=O)O
CCC=O
CC(=O)OCCC(C(=O)O)N
C(C(=O)O)OP(=O)(O)O
[SeH2]
C1CC1(C(=O)O)N
C(#N)O
C1=CC(=CC=C1C=O)[N+](=O)[O-]
C1=CC(=O)OC1CC(=O)O
C1=CC(OC1=O)(CC(=O)O)C(=O)O
[O-][As]([O-])[O-]
O[As](O)O
C(C(=O)O)P(=O)(O)O
C1=CC(=C(C=C1CC(=O)O)O)O
C(CC(=O)O)C(CC(=O)C(=O)O)O
C(CC(=O)C(=O)O)CN=C(N)N
C(CC=O)CN=C(N)N
CSCCC(=O)C(=O)COP(=O)(O)O
CSCCC(=O)O
C(CCC(=O)O)CCN
C1=CC=C(C=C1)[Hg]
C1=CC=C2C(=C1)C3=CC=CC=C3O2
C1=CC=C(C(=C1)C2=C(C(=CC=C2)O)O)O
C1=CC=C(C=C1)C(=CC=CC(=O)C(=O)O)O
C(CN(C=O)O)CP(=O)(O)O
CN1C(CCC1=O)C2=C[N+](=CC=C2)C
C1=CC=C2C(=C1)C=CC(O2)(C(=O)O)O
CN(CC(=O)O)C(=N)N
CN1CC(=O)N=C1N
C1=C(NC(=O)N=C1)N
C(CS(=O)(=O)O)S
C(C(C(=O)O)O)C(=O)C(=O)O
CC(C(=O)O)O
C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O
C1CC(N=C(C1)C(=O)O)C(=O)O
CC(=CCOP(=O)(O)OP(=O)(O)O)C
C1CNC(=O)NC1=O
CC(=O)C(=O)C
CC(C(CCCCCC(=O)O)N)N
CCOP(=O)(O)OCC
CCOP(=S)(O)OCC
C1CC(=O)OC2=CC=CC=C21
C(CCC(=O)N)CC(CCS)S
C(C(=O)COP(=O)(O)O)O
CC(=O)C(COP(=O)(O)O)O
C(C(=O)CO)O
C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O
CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C
CN(C)CC(=O)O
CNC
CC1=CC2=C(C=C1C)N=CN2
CS(=O)C
C1=CC(=C(C=C1CCN)O)O
C(CO)N
CCOC(=O)C(C)C(=O)C
CCO
C=O
C(=O)N
C(CCNC1C(=O)C(C(C(O1)CO)O)O)CC(C(=O)O)N
C(CCNC1C(=O)C(C(C(O1)COP(=O)(O)O)O)O)CC(C(=O)O)N
C(C(C(=O)O)O)OP(=O)(O)O
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
C1=C(C(C(C(C1Cl)Cl)Cl)Cl)Cl
C(CC(=O)O)CC(=O)O
C(C(=O)O)N
C(C(C=O)O)O
C(C(C(=O)O)O)O
C(C(CO)O)O
C(C(COP(=O)(O)O)O)O
C(C=O)O
C(C(=O)O)O
C(=O)C(=O)O
C(C(=O)O)N=C(N)N
C(=O)(O)O
C#N
CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
C1=C(NC=N1)CCN
C1=C(NC=N1)CC(C=O)N
CC1=NC=C(C(=N1)N)CO
C1=CC(=C(C=C1O)CC(=O)O)O
C(#N)S
C(CC(=O)O)C1C(=O)NC(=O)N1
[HH]
OO
C1=CC(=CC=C1O)O
CC(=CCOP(=O)(O)OP(=O)(O)O)CO
NO
C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
C1=C(NC=N1)CC(=O)COP(=O)(O)O
C1=C(NC=N1)CC(=O)C(=O)O
C1=CN=CN1
C(C(=N)C(=O)O)C(=O)O
C1=CC=C2C(=C1)C=CN2
C1=CC=C2C(=C1)C(=CN2)CC=O
C1=CC=C2C(=C1)C(=CN2)CC(=O)O
C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
II
C=C(CC(=O)O)C(=O)O
[K+]
C(C(C(=O)O)N)C(=O)OP(=O)(O)O
CS(=O)CCC(C(=O)O)N
CC(C)(CO)C(C(=O)O)O
C1CCNC(C1)C(=O)O
C1CSSC1CCCCC(=O)N
C1CSSC1CCCCC(=O)O
C(C(=O)O)C(=O)O
C(C=O)C(=O)O
C1=CC=C(C(=C1)CCC(=O)O)O
CS
CC(=O)C=O
CO
[Mg+2]
C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O
C1(C(C(C(C(C1O)O)O)O)O)O
CSCCS(=O)(=O)O
C(CCC(=O)NCCCCCC(=O)O)CCN
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
CC(=O)NCCC1=CNC2=C1C=C(C=C2)O
CC(=O)NC1=CC=CC=C1
C(C(=O)O)N=CN
C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)NC=O
CNCCC1=CN=CN1
CNCC(C1=CC=CC=C1)O
CC(=O)NCCCNCCCCNCCCN
[Na+]
C1=CC=C2C=CC=CC2=C1
[Ni+2]
[Ni]
C1=CC(=CN=C1)C(=O)N
C1=CC(=CN=C1)C(=O)O
[N+](=O)([O-])[O-]
[N+](=O)(O)[O-]
N=O
N(=O)[O-]
N#N
[N-]=[N+]=O
CN(C)C1=CC=CC=C1
C[N+](C)(C1=CC=CC=C1)[O-]
C1=CC=C(C(=C1)C(=O)CCC(=O)O)C(=O)O
CCCCCCCCO
O
C(C(=O)C(=O)O)O
C1=C(NC(=O)NC1=O)C(=O)O
C(C(=O)C(=O)O)C(=O)O
C(=O)(C(=O)O)O
C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O
C(=O)(C(=O)O)N
C=CCC(=O)C(=O)O
O=O
C1=CC(=CC=C1C(=O)O)N
C1=CC(=CC=C1CC(=O)C(=O)O)O
C1=CC(=CC=C1[N+](=O)[O-])O
OP(=O)(O)OP(=O)(O)OP(=O)(O)O
CCCCCCCCCCCCCCCC=O
CCCCCCCCCCCCCCCC(=O)O
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
C1=CC=C2C(=C1)C=CC3=CC=CC=C32
C1=CC=C(C=C1)O
C1=CC=C(C=C1)CC(=O)C(=O)O
C1=CC=C(C=C1)CC=O
C1=CC=C(C=C1)CC(=O)O
C1=CC=C(C=C1)C(CN)O
C1=CC=C(C=C1)CCN
C1=CC=C(C=C1)C2C(=O)NC(=O)N2
OP(=O)(O)O
C=C(C(=O)O)OP(=O)(O)O
C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C[N+](=C2N)C4C(C(C(O4)COP(=O)(O)O)O)O
C[N+](C)(C)CCOP(=O)(O)O
C(COP(=O)(O)O)N
C1=CC=C(C(=C1)C(=O)O)C(=O)O
C1=CC=NC(=C1)C(=O)O
C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
OP(=O)(O)OP(=O)(O)O
C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O
C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
CC(CO)O
CCCO
CCC(=O)O
CCC(=O)OP(=O)(O)O
[H+]
C1=CN=C2C(=N1)C=NC=N2
C1=C2C(=NC=N1)N=CN2
C(CCN)CN
C1=CN=C(C=N1)C(=O)N
C1=CN=C(C=N1)C(=O)O
C1=CNN=C1
C1=CC=NC=C1
CC1=NC=C(C(=C1O)C=O)CO
CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
CC1=NC=C(C(=C1O)CN)CO
CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
CC1=NC=C(C(=C1O)CO)CO
CC1=NC=C(C(=C1O)CO)COP(=O)(O)O
C1=CC(=C(C(=C1)O)O)O
C1C(C=NC1C(=O)O)O
CC(=O)C(=O)O
C1=CC(=C(N=C1)C(=O)O)C(=O)O
CSC
CC(=O)SC(CCCCC(=O)N)CCS
CC(CC(=O)O)(C(=O)O)O
[O-]S(=O)S(=O)[O-]
CNCC(=O)O
O[Se](=O)(=O)O
O[Se](=O)O
OS(=O)O
C(CCNCCCN)CN
C(CCNCCCN)CNCCCN
C1CC2CCC3C4CCC(CC4CCC3C2C1)O
C1CCC2C(C1)CCC3C2CCC4C3CCC4
C(CC(=O)O)C(=O)O
C(CC(=O)O)C=O
OS(=O)(=O)O
O=S=O
C(=O)C(C(=O)O)O
C(CS(=O)(=O)O)N
C1CCSC1
C1CCS(=O)C1
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O
C(C(=O)O)S
CC1=CNC(=O)NC1=O
CC1=C(SC=N1)CCO
CC1=C(SC=N1)CCOP(=O)(O)O
CC1=CC=CC=C1
C[N+](C)(C)[O-]
CN(C)C
C[S+](C)C
C1=CC=C2C(=C1)C(=CN2)CCN
CC(C(=O)O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
C1=CNC(=O)NC1=O
C12=C(NC(=O)N1)NC(=O)NC2=O
C(=O)(N)N
C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)O)CC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
COC1=C(C=CC(=C1)C=O)O
C1=NC2=C(N1)C(=O)NC(=O)N2
C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
C1CCN=C(C1)C(=O)O
CC(=C)CCOP(=O)(O)OP(=O)(O)O
C(C(C(C(=O)O)O)C(=O)O)C(=O)O
CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)O)C2=CC(=CC=C2)Cl
CC1C2CC3=C(C1(CCN2)C)C=C(C=C3)O
CC1CCCC2(C1(CCCC2)O)C
C1C(CC1(C(=O)O)N)C(=O)O
CC(C1=C(C(=CC=C1)Cl)Cl)N
C(CC(C(=O)O)N)CP(=O)(O)O
C1=CC(=CC(=C1)O)C(C(=O)O)N
C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3
CCCN(CCC)C1CCC2=C(C1)C=C(C=C2)O
CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O
CC1=C(C(=O)NO1)CC(C(=O)O)N
C=CCN1CCC2=C(C(=C(C=C2C(C1)C3=CC=CC=C3)O)O)Cl
C1CC(C(NC1)C(=O)O)C(=O)O
C1CN(CC(N1)C(=O)O)CCCP(=O)(O)O
CC(CC1=CC(=C(C=C1OC)I)OC)N
C1CN(C(=O)C1N)O
C1=C(ONC1=O)C(C(=O)O)N
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC
COC1=C(C=CC(=C1)C(CN)O)O
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)Cl
CCCN(CCC1=CC=CC=C1)C2CCC3=C(C2)C=CC=C3O
C=CCN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O
C1CNCC(C2=CC(=C(C=C21)O)O)C3=CC=CC=C3
CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)Br
COC1=C(C=CC(=C1)C(C(=O)O)O)O
CC1CCC(C(C1)O)C(C)C
CC(=C)C1CCC(=CC1)C(=O)O
C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)[O-]
C1C(C1C(=O)O)C(C(=O)O)N
C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=N)N
COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)OC)OC)OC
C1=CC=C(C=C1)C(C(=O)O)O
C1CC(NC1)C(C2=CC=CC=C2)C3=CC=CC=C3
C1=CC(=C(C=C1C(C(=O)O)N)O)C(=O)O
CC(C1=CC=CC=C1)(C(=O)O)O
C1=CN2C=NC3=C(C2=N1)N=CN3C4C(C(C(O4)COP(=O)(O)OP(=O)(O)O)O)O
C[N+]1(CCN(CC1)C2=CC=CC=C2)C
C(CCCCCN)CCCCN
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
C1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=CC(=C3O)O
CNNC
CN1C=NC2=C1N(C(=O)N(C2=O)C)C
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3
CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O
C1=CC(=CC(=C1)CCSC(=N)N)CCSC(=N)N
C1C(C(C(N1)CO)O)O
C1=CC(=CC=C1CCSC(=N)N)CCSC(=N)N
C[N+](C)(CC=C)C1=CC=C(C=C1)CCC(=O)CCC2=CC=C(C=C2)[N+](C)(C)CC=C
C1=CC2=C(C=CNC2=O)C(=C1)O
C1CN(CCN1)C2=CC=CC3=CC=CC=C32
C1CCN(C1)CCN
CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl
COC1=CC=CC=C1N2CCNCC2
C1=CC=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC(=CC=C4)Cl
CC1CN(CCN1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3
C1=CC(=CC(=C1)Cl)N=C(N)N=C(N)N
C1CN(CCN1)C2=CC(=CC=C2)Cl
C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2
COC1=CC(=C(C=C1)OCCCCCCN2C=CN=C2)Cl
C1CCC(CC1)(C(=O)O)N
C1=CC=C2C(=C1)N=NN2N
C1=CC=C(C=C1)NC2=CC=CC3=C2C(=CC=C3)S(=O)(=O)O
C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCO3
CC1=C(C2=C(N1CC3=CC=CC=C3)C=CC(=C2)OC)CC(=O)O
CC1=CC2=C(C(=C1C)O)C(=O)C3=CC=CC=C3C2=O
CC1=C(SCCO1)C(=O)NC2=CC(=C(C=C2)Cl)C(=O)OC(C)C
CN1C2=C(C=C(C=C2)S(=O)(=O)N)C(=O)S1
CN1CCC(=CC1)C2=CC=CC=C2
CN1C=CN=C1
CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)Br
CC1=CC=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)(C)C
CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C
CCCCCC1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)C(=O)O)O
COCCCCCCCCCCCC(=O)O
CC(=NCC1=CC=CC(=C1)CN)N
C#CCCCCCCCCCCCCCCCC(=O)O
COC1=CC(=C(C=C1)OCC2=CC=C(C=C2)COC3=C(C=CC=C3Cl)Cl)Cl
C1=CC=C2C(=C1)N=CC3=NOC(=O)N23
CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C
C1=CC=NC(=C1)C2=CC=CC=N2
B(C1=CC(=CC=C1)NS(=O)(=O)C2=CC(=CS2)S(=O)(=O)C3=CC=CC=C3)(O)O
CC[N+]1=C(C(=C(C(=C1C)C(=O)OC(C)C)C2=CC=CC=C2Cl)C(=O)O)C(=O)O
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O
COC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl
C1=C(C=C(C(=C1Br)O)Br)Br
C1=CC(=C(C=C1Cl)Cl)CN
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
CCCCCCC(C)OC(=O)COC1=C(C=C(C=C1)Cl)Cl
COC(=O)COC1=C(C=C(C=C1)Cl)Cl
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
COC(=O)CCCOC1=C(C=C(C=C1)Cl)Cl
C1=CC(=C(C=C1O)O)C(=O)O
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NN(N=N3)C
COC1=CC(=C(C=C1)O)C2=NC3=C(N2)C=C(C=C3)C(=N)N
C1=CC=C(C=C1)C2=C(C(=CC=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N)O
C1=CC=C(C(=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N)O
C1=CC=C(C(=C1)C2=CC3=C(N2)C=CC(=C3)C(=N)N)O
C1=CNC(=O)C(=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N
COC1=CC=CC(=C1)C2=NC3=C(C=CC=C3N2)C(=O)N
C1=CC(=C(N=C1)C2=NC3=C(N2)C=C(C=C3)C(=N)N)O
COC1=CC=CC(=C1)N2C=CC3=C(S2(=O)=O)SC(=C3)S(=O)(=O)N
C1=CC(=CC=C1C2C(C(C(N2)CO)O)O)N
